Sr_No,Location_Coordinates,Hospital_Name,Address_Original_First_Line,State,District,Pincode,Telephone,Website
19431,NA,Siddhivinayak Hospital And Icu,"Teli Ali, In Front Of Lic Office, Kankavli",Maharashtra,Sindhudurg,416602,0,0
19432,"19.230415, 72.862571",Dr.Redkar Hospital,"Near S T Stand, Malvan",Maharashtra,Sindhudurg,416606,0,0
19433,NA,Limaye Hospital,"At Post. Malvan, Taluka Malvan,Near Bharad Chowk, Near Sarswati Talkies",Maharashtra,Sindhudurg,416606,0,0
19434,"17.6599188, 75.9063906",Accident and Maternity Hospital,"(Priyanka) 157/1, Railway Lines Near Kaljapur Maruti",Maharashtra,Solapur,413001,0,0
19435,"17.6656707, 75.9072575",Balwant Institute Of Neurosurgery And Intensive T,"111,Modikhana,Near Sat Rasta",Maharashtra,Solapur,413001,0,0
19436,"18.2333856, 75.6941478",Barsi Maternity and General Hospital,Bars,Maharashtra,Solapur,413001,0,0
19437,"17.6599188, 75.9063906",Bashweshwar Hospital,North,Maharashtra,Solapur,413001,0,0
19438,NA,Bhandari Hospital,"146, Railway Lines Near Sahyadri Shopping Centre Near Sahyadri Shopping Centre",Maharashtra,Solapur,413001,0,0
19439,"17.6599188, 75.9063906",Bharti Hospital,"1St Floor, Panjarpol Bhavan , Near S. T. Stand",Maharashtra,Solapur,413001,0,0
19440,"17.6685368, 75.8971332",Borade Clinic,"101,Paradise 79,Railway Lines",Maharashtra,Solapur,413001,0,0
19441,NA,"Chitale Clinic Private Limited, Solapur","Chitale Clinic, 165, D, Railway Lines",Maharashtra,Solapur,413001,0,0
19442,"17.6631693, 75.9005934",City Hospital,"City Pride Building, B Wing,Near Pankha Bawadi, , Old Employment Chowk",Maharashtra,Solapur,413001,0,0
19443,"17.6685368, 75.8971332",Dhanaragiraji Hospital Trust,"4, Railway Line",Maharashtra,Solapur,413001,0,0
19444,"17.6699361, 75.8812025",Dhanvantri Nursing Home,"Ramchandra Shete Nagar, Near Shete Wasti, Laxmi Peth",Maharashtra,Solapur,413001,0,0
19445,"17.675093, 75.8955113",Dr Birajdar Hospital,"Nirale Vasit Road, Panjarapul Chowk , Murarji Peth",Maharashtra,Solapur,413001,0,0
19446,NA,Dr Chidgupkar Hospital Pvt Ltd,190- Samarat Chowk Budhwarpet,Maharashtra,Solapur,413001,0,0
19447,NA,Dr Rakhoji Kidney Hospital and Research Center Pvt Ltd,"146/2, Railway Lines, Near Old Rto",Maharashtra,Solapur,413001,0,0
19448,"17.6599188, 75.9063906",Dr Valsangkar Hospital,"80,Railway Lines,Dr P.G. Valsangkar Chowk,Duffrin Chowk",Maharashtra,Solapur,413001,0,0
19449,"17.6651108, 75.8986612",Dr. Basutkar`S Gaurav Plastic Surgery - Maternity Hospital,"162/8, Railway Lines",Maharashtra,Solapur,413001,0,0
19450,"17.6599188, 75.9063906",Dr.A.K.Kelkar,"Shubhraj Towers,Dutta Chowk",Maharashtra,Solapur,413001,0,0
19451,NA,Dr.Prabhakars Ganga Institute Of Neurosciences and T,"04, Railway Lines,Opposite Fujdar Chowdi Police Station, Park Chowk",Maharashtra,Solapur,413001,0,0
19452,NA,Ganga Institute Of Neurosciences and Trauma Care - Solapur,"04, Railway Lines , Opposite Faujdar Chowdi Police Station Park Chowk",Maharashtra,Solapur,413001,0,0
19453,"17.6599188, 75.9063906",Gayatri Hospital,,Maharashtra,Solapur,413001,0,0
19454,"17.6599188, 75.9063906",Jayram Ent Hospital,North,Maharashtra,Solapur,413001,0,0
19455,"18.2333856, 75.6941478",Jeevandai Hospital,Barsi,Maharashtra,Solapur,413001,0,0
19456,"18.2333856, 75.6941478",Kavel General Hospital,Barsi,Maharashtra,Solapur,413001,0,0
19457,NA,Kothadia Nursing Home,"6185/E1, Sidheshwar Peth, Near Zilla Parishad",Maharashtra,Solapur,413001,0,0
19458,NA,Krishna Mai Nursing Home and Test-Tube Baby Centre,Killa Bageshamor Shokapur,Maharashtra,Solapur,413001,0,0
19459,"17.6599188, 75.9063906",Lokmangal Medical Foundation and Research Centre,"Gate No.261 & 262, At Post Kumbhari, Taluka South",Maharashtra,Solapur,413001,0,0
19460,"28.6270562, 77.1100426",Lotus Hospital,"Wz - 409 - A, Janak Park , Harinagar",Maharashtra,Solapur,413001,0,0
19461,"17.5242162, 76.2054416",Medical Supritendent Rural Hospital,Akkalkot,Maharashtra,Solapur,413001,0,0
19462,"17.6599188, 75.9063906",Panchsheel Maternity Home,"Panch-Sheel"", 97, Siddeshwar Peth",Maharashtra,Solapur,413001,0,0
19463,"17.6685368, 75.8971332",Pradhan Eye Hospital,"No. 50, Rly Lines",Maharashtra,Solapur,413001,0,0
19464,"17.6452056, 75.9007677",Raghuvendra Hospital,Maji Sainik Nagar,Maharashtra,Solapur,413001,0,0
19465,NA,Ramakrishna Hospital,"162/20 A, Railway Lines, Near Shantisagar Mangal Karyalaya Near Shantisagar Mangal Karyalaya",Maharashtra,Solapur,413001,0,0
19466,"17.6599188, 75.9063906",S P Institute Of Neurosciences,"Neurology And Neurosurgey Under Onr Roof, Ramwadi Road",Maharashtra,Solapur,413001,0,0
19467,"27.960742, 80.6976478",Sanjeevan Nursing Home,"67/67, Railway Line , Station Road",Maharashtra,Solapur,413001,0,0
19468,NA,Shanti Hospital,Karanja Chowk Akkalkot,Maharashtra,Solapur,413001,0,0
19469,"17.6784981, 75.328914",Shree Criti Care Unit,"Mahavir Nagar, Pandharpur",Maharashtra,Solapur,413001,0,0
19470,"17.4357941, 75.1888022",Shrinand Balrugnalaya,"Station Road , Sangola",Maharashtra,Solapur,413001,0,0
19471,"17.6685368, 75.8971332","Solapur Kidney Care and Research Centre Pvt. Ltd.,","#88 - A, Railway Lines Solapur,Near Nowal Petrol Pump",Maharashtra,Solapur,413001,0,0
19472,"17.6599188, 75.9063906",Sunrise Hospital,Railway Lines Near Old Rto Office,Maharashtra,Solapur,413001,0,0
19473,"17.8632547, 74.9054785",Suryawanshi Trauma and Rehabilitation Centre,"Opp New Bus Stand,Akluj, - 413101, Tal.Malshiras",Maharashtra,Solapur,413001,0,0
19474,"17.6599188, 75.9063906",Talpallikar Clinic,"Tulsi Apartment,637, South Kosba , Choupad,",Maharashtra,Solapur,413001,0,0
19475,NA,The Dhanraj Giriji Hospital,The Dhanraj Giriji Hospital Trust,Maharashtra,Solapur,413001,0,0
19476,NA,Unique Hospital,"392/94/422, South Kasba ,Main Road, Near Old Faujdar Chawadi",Maharashtra,Solapur,413001,0,0
19477,"17.6599188, 75.9063906",Zambre Nursing Home,"Opposite S.T Sand , Behand Petrol Pump",Maharashtra,Solapur,413001,0,0
19478,"17.6599188, 75.9063906",Ambika Hospital,Opp: St Stand Moorarjipet,Maharashtra,Solapur,413002,0,0
19479,NA,Chaitanya Hospital,Site No. 1 & 2 Sector 44 - C Sector 44 - C,Maharashtra,Solapur,413002,0,0
19480,NA,Dr Ajit Upase Hospital,"1001, North Kasaba, Bali-Ves , Tilak Road",Maharashtra,Solapur,413002,0,0
19481,NA,Dr. Nitin Rathi Hospital - Solapur,"647,P Mangalwar Peth Tilak Chowk",Maharashtra,Solapur,413002,0,0
19482,NA,Dr. Raghoji Kidney Hospital and Research Centre Pvt. Ltd.,"No. 146/2, Railway Lines,Near Old Rto Office",Maharashtra,Solapur,413002,0,0
19483,NA,Indira Clinic,"444, Dakshin Kasba Near Sonyamaruti Near Sonyamaruti",Maharashtra,Solapur,413002,0,0
19484,NA,Jain Hospital And Institute Of Digestive Diseases - Solapur,"Bhimaratna Complex , Shiwaji Chowk, Bus Stand",Maharashtra,Solapur,413002,0,0
19485,"17.6599188, 75.9063906",Kadadi Hospital,North,Maharashtra,Solapur,413002,0,0
19486,NA,Shree Basaveshwar Hospital,207 Raviwar Peth Rajender Chowk Rajender Chowk,Maharashtra,Solapur,413002,0,0
19487,"18.498007, 73.8136979",Siddheshwar Multispeciality Hospital Pvt. Ltd. - Solapur,"188, Budhwar Peth, Pune Road, Near S T Stand",Maharashtra,Solapur,413002,0,0
19488,"17.6599188, 75.9063906",Vardhaman Clinic,Bali Ves,Maharashtra,Solapur,413002,0,0
19489,"17.6625542, 75.908528",Ashwini Sahakari Rugnaylay,North Sadar Bazar North Sadar Bazar,Maharashtra,Solapur,413003,0,0
19490,NA,Dhanshree Hospital and Maternity Home,"Kadalas Naka, Sangloa",Maharashtra,Solapur,413003,0,0
19491,"17.6599188, 75.9063906",Dr. Katkar Hospital,"946, North Sadar Bazar, Dyansarita School",Maharashtra,Solapur,413003,0,0
19492,"18.4028716, 76.2399495",Dr. Patil Balrugnalaya and Maternity Home,"3969 Bhavani Peth , Barshi",Maharashtra,Solapur,413003,0,0
19493,"17.6599188, 75.9063906",Navneet Hospital Chest and Icu Care Center,"936/1, North Sadar Bazar, Near Remand Home",Maharashtra,Solapur,413003,0,0
19494,"18.5204303, 73.8567437",Niramaya Hospital,"Behind Jai Hind Petrol Pump, Next To Chinchwad (E) Post Office, Pune Next To Chinchwad (E) Post Office, Pune",Maharashtra,Solapur,413003,0,0
19495,"17.6428208, 75.9200629",Savaskar Nursing Home,Hotgi Road,Maharashtra,Solapur,413003,0,0
19496,NA,Utkarsh Hospital,"No. 1640, Civil Lines, Near Sat Rasta Off Lead V.D Kirpeker Road",Maharashtra,Solapur,413003,0,0
19497,"17.6599188, 75.9063906",Yashodhara Super Speciality Hospital Pvt. Ltd. - Solapur,"6158, Siddheshwar Peth, Near Zilla Parishad",Maharashtra,Solapur,413003,0,0
19498,NA,Dantkale Hospital,"3-A, Vijay Soc I.T.I. Bus Stop I.T.I. Bus Stop",Maharashtra,Solapur,413004,0,0
19499,"17.6408371, 75.8985544",Raghvendra Hospital,"5, Maji Sainik Nagar Vijapur Road",Maharashtra,Solapur,413004,0,0
19500,"17.6745656, 75.9087491",Vinayak Maternity And Nursing Home,"145/146/177, South Sardar Bazar,Near Shri Rammandir, Saat Rasta",Maharashtra,Solapur,413004,0,0
19501,"17.6599188, 75.9063906",Wachche Hospital - Solapur,Plot No - 13 Vishal Nagar Jule Solapur Near Bharati Vidyapeeth,Maharashtra,Solapur,413004,0,0
19502,"17.6599188, 75.9063906",Jay Hospital,"267/59 , Raviwar Peth,Near New Water Tank",Maharashtra,Solapur,413005,0,0
19503,NA,Raghoji Ent and Maternity Hospital,"150/31/A Raviwar Peth Solapur, Opposite Arkal Hospital, Near Jodhasavanna Chowk",Maharashtra,Solapur,413005,0,0
19504,"17.6599188, 75.9063906",Sambharam Nursing Home - Solapur,"1526, Daji Peth, Near Balaji Mandir",Maharashtra,Solapur,413005,0,0
19505,NA,Shri Markandey Solapur Sahakari Rugnalaya and Research Center,"Plot No. 19, New Panchha Peth Plot No. 19, New Panchha Peth",Maharashtra,Solapur,413005,0,0
19506,"17.6625542, 75.908528",Valvekar Nursing Home - Solapur,560/58 South Sadar Bazar Solapur Behind Hotel Pratham,Maharashtra,Solapur,413005,0,0
19507,"17.6599188, 75.9063906",Vivekanand Nursing Home,"1257, New Pacha Peth Jod Basaranna Chowk",Maharashtra,Solapur,413005,0,0
19508,NA,M M Patel Public Charitable Trust Hospital,"At-Post-Kumbhari, Akkalkot Road",Maharashtra,Solapur,413006,0,0
19509,"17.6599188, 75.9063906",Aparna Hospital,"518,South Kasaba,Datta Chouk",Maharashtra,Solapur,413007,0,0
19510,"17.6428208, 75.9200629",Dr. Karvekar Hospital and Fertility Clinic,"6, N G Mill Hosg, Society Hotgi Road",Maharashtra,Solapur,413007,0,0
19511,NA,Mangalya Nursing Home,"13/85, 74 Gold Finch Peth (Navi Peth) Behind Paras Estate Behind Paras Estate",Maharashtra,Solapur,413007,0,0
19512,"17.6599188, 75.9063906",Shri Chatrapati Sivaji Maharaj Sarvopchar Rugnalay,Rugnalaya Solapur Dr V M Medical College,Maharashtra,Solapur,413007,0,0
19513,"17.8920985, 75.011778",Ashwini Hospital,"Sangram Nagar, Akluj, Malshiras",Maharashtra,Solapur,413101,0,0
19514,NA,Child Care Hospital - Akluj,"97/2, Tal-Malshiras Near New Bus Stand",Maharashtra,Solapur,413101,0,0
19515,NA,Disha Clinic-Akulj-Solapur,"Sujay Complex, Sangramnagar,Akuj",Maharashtra,Solapur,413101,0,0
19516,NA,Dobhada Surgical Nursing Home - Akluj,"992/23,Bhagvan Mahaveer Road, Akluj",Maharashtra,Solapur,413101,0,0
19517,NA,Gujar Hospital And Maternity,"22/7, Flat No 49/50 , Shankar Nagar Road, Malshriras Akluj",Maharashtra,Solapur,413101,0,0
19518,NA,Gulve Hospital,Near Sai Mandir Sangram Nagar Sangram Nagar,Maharashtra,Solapur,413101,0,0
19519,"17.6599188, 75.9063906",Jaing Hospital,North Solapur,Maharashtra,Solapur,413101,0,0
19520,NA,Jamdar Poly Clinic,Sangram Nagar At Post Akluj Vijay Chowk Vijay Chowk,Maharashtra,Solapur,413101,0,0
19521,NA,Kadam Multi Speciality Hospital,"Near Old Station Road, Akluj Tahshil, Malshiraj",Maharashtra,Solapur,413101,0,0
19522,NA,Maher Hospital and Ent Hospital,"Audumbar Nagar, Behind New S T Stand, Bypass Road, Akluj Bypass Road, Akluj",Maharashtra,Solapur,413101,0,0
19523,"17.6599188, 75.9063906",Sanjivani Accident Hospital,Sangram Nagar Dis-Solapur,Maharashtra,Solapur,413101,0,0
19524,NA,Sanmati Hospital - Akluj,"2260/11,Gulavenargar, Tal-Malshirs, Akluj Akluj",Maharashtra,Solapur,413101,0,0
19525,NA,Sheetal Nursing Home,At. Sangramnagar Akluj Tal-Malshiras,Maharashtra,Solapur,413101,0,0
19526,NA,Shete Maternity Home,Opposite New S.T. Stand,Maharashtra,Solapur,413101,0,0
19527,NA,Siya Maternity and Surgical Home,"Opposite Water Tank, Colony Road, Sangramnagar, Akluj",Maharashtra,Solapur,413101,0,0
19528,NA,Suryawanshi Trauma and Rehabilitation Center,"Opposite New Bus Stand, Tamane Nagar",Maharashtra,Solapur,413101,0,0
19529,NA,Yashoda Hospital - Akluj,Guve Nagar Shivshankar Bazar Akluj,Maharashtra,Solapur,413101,0,0
19530,NA,Roop-Manik Maternity and Nursing Home,"Sangramanagar -Akluj, Tal-Malshiras",Maharashtra,Solapur,413107,0,0
19531,"18.4752603, 73.9577445",Mane Deshmukh Hospital,Pune Pandharpur Road Velapur Velapur,Maharashtra,Solapur,413113,0,0
19532,NA,Naik Hospital and Nursing Home,Akluj Sangola Road Velapur Velapur,Maharashtra,Solapur,413113,0,0
19533,"18.4044833, 75.1953934",Dr Whatkar Hospital,Karmala,Maharashtra,Solapur,413203,0,0
19534,NA,Gokul Hospital,"Gokul Hospital, Shri Kamla Devi Road, Karmala Tal Karmala",Maharashtra,Solapur,413203,0,0
19535,NA,Keware Hospital,"Main Road, Karmala, Tal. Karmala",Maharashtra,Solapur,413203,0,0
19536,NA,Kogrekar Hospital,"Bhawani Naka Devich Road, Karmala",Maharashtra,Solapur,413203,0,0
19537,"18.4044833, 75.1953934",Medical College Hospital,Karmala,Maharashtra,Solapur,413203,0,0
19538,"18.0339662, 75.5160676",Bahubali Hospital,Madha,Maharashtra,Solapur,413208,0,0
19539,"17.6030376, 75.390148",Dr Kadam Surgical Hospital,Pandharpur Road,Maharashtra,Solapur,413208,0,0
19540,"17.6599188, 75.9063906",Dr Surve Maternity Surgical and General Hospital,"Near D.C.C. Bank, Stand Road, Kurduwadi, Tal. Madhu, Solapur Tal. Madhu,",Maharashtra,Solapur,413208,0,0
19541,"18.0840117, 75.423237",Madhav Smruti Hospital,"Madha Road , Kurduwadi , Kurduwadi",Maharashtra,Solapur,413208,0,0
19542,"18.0910025, 75.4065475",New Ashirwad Rugnalaya,Tembhurni Road Kurduwadi Kurduwadi,Maharashtra,Solapur,413208,0,0
19543,NA,Sakhare Hospital,"Oppruralhospital, Madharoad, Kurduwadi",Maharashtra,Solapur,413208,0,0
19544,"18.0963477, 75.4221007",Santosh Hospital Maternity and Nursing Home,Kurduwadi,Maharashtra,Solapur,413208,0,0
19545,"18.0339662, 75.5160676",Dr Lonavat Hospital,Madha,Maharashtra,Solapur,413209,0,0
19546,"17.0706662, 75.2270698",Dr Patil Hospital,"Main Road, Indira Gandhi Chowk",Maharashtra,Solapur,413209,0,0
19547,NA,Santosh Hospital,"6/1, Promenade Road, Behind Cole's Park, Near Goodwill School Near Goodwill School",Maharashtra,Solapur,413209,0,0
19548,"17.6599188, 75.9063906",Shri Sai Hospital,Main Road,Maharashtra,Solapur,413209,0,0
19549,"30.9669269, 77.1116156",Suyash Hospital and Maternity Home,Near D.C.C. Bank Main Raod Main Raod,Maharashtra,Solapur,413209,0,0
19550,NA,Satyaprakash Hospital,Karamala Chowk Tembhwani Tembhwani,Maharashtra,Solapur,413211,0,0
19551,NA,Dhavale Hospital,National Highway No. 9 Behind Sagar Hotel Sule Nagar Behind Sagar Hotel Sule Nagar,Maharashtra,Solapur,413213,0,0
19552,"17.802867, 75.6454727",Lokhande Baburao Patil Hospital,Mohol,Maharashtra,Solapur,413213,0,0
19553,"17.6599188, 75.9063906",Dr Shaha Clinic,Main Road Near Jain Temple Akalkoth,Maharashtra,Solapur,413216,0,0
19554,"20.6607735, 75.3357541",Swami Samarth Hospital,Bypass Road Kalika Nagar Kalika Nagar,Maharashtra,Solapur,413216,0,0
19555,NA,Shri Sadguru Fracture and Accident Hospital,"Mayakka Mauli Complex, Near St Stand, Sangola, Tal Sangola",Maharashtra,Solapur,413301,0,0
19556,"22.3071588, 73.1812187",Siddheshwar Hospital,Main Road Opp Market Yard Near Baroda Bank Near Baroda Bank,Maharashtra,Solapur,413301,0,0
19557,NA,Borawake Hospital,Bhakti Marg Upalat Nagar Upalat Nagar,Maharashtra,Solapur,413304,0,0
19558,"17.6745535, 75.3237262",Cottage Hospital,Pandharpur,Maharashtra,Solapur,413304,0,0
19559,"17.6745535, 75.3237262",Dr Arif Bohri Polyclinicand Hospital,"1St Floor, Navi Peth Shopping Complex, Pandharpur",Maharashtra,Solapur,413304,0,0
19560,"17.6675629, 75.3124285",Dr Dipak Achalare,New Karad Naka,Maharashtra,Solapur,413304,0,0
19561,"17.6745535, 75.3237262",Dr Hawale Hospital,Pandharpur Pune Road Bhandishegaon Bhandishegaon,Maharashtra,Solapur,413304,0,0
19562,"19.4553515, 72.8113716",Gayatri Hi Tech Hospital and Research Center,"Station Road , Savarkar Path",Maharashtra,Solapur,413304,0,0
19563,"17.6599188, 75.9063906",Jankalyan Hospital,Bhakti Marg,Maharashtra,Solapur,413304,0,0
19564,"17.6745535, 75.3237262",Kamal Kranti Medical Foundation Trust,Pandharpur,Maharashtra,Solapur,413304,0,0
19565,NA,Mahadik Hospital,Near Blood Bank Bhakti Marg Bhakti Marg,Maharashtra,Solapur,413304,0,0
19566,"17.6693546, 75.3409001",Medicare I.Cu. Pandharpur,Pandharpur,Maharashtra,Solapur,413304,0,0
19567,NA,Mohite Hospital-Pandharpur,"S.No.4076,Vyapari Bulding,Bhoshal Chowk",Maharashtra,Solapur,413304,0,0
19568,NA,Navjeevan Childern's Hospital-Pandharpur,"Near Sargam Cinema,Pandharpor",Maharashtra,Solapur,413304,0,0
19569,NA,Padalkar Hospital and Maternity Home,"4569, Old Karad Naka, Nity Home",Maharashtra,Solapur,413304,0,0
19570,"17.6745535, 75.3237262",Raka Accident And Frature Hospital,"C/O. Raka Hospital, Shivaji Chowk, , Pandharpur",Maharashtra,Solapur,413304,0,0
19571,NA,Samarth Eye and Dental Clinic,"4567/2, Behind Zp Office, Karad Road",Maharashtra,Solapur,413304,0,0
19572,"17.6745535, 75.3237262",Shahapure Hospital,Pandharpur,Maharashtra,Solapur,413304,0,0
19573,"17.6745535, 75.3237262",Shree Hospital Maternity and Surgical,Pandharpur,Maharashtra,Solapur,413304,0,0
19574,"17.6287392, 75.9143867",Shreyash Hospital,,Maharashtra,Solapur,413304,0,0
19575,"17.6745535, 75.3237262",Shri Ganapati Children Hospital,Near Savarkar Stachew Station Road Pandharpur Station Road Pandharpur,Maharashtra,Solapur,413304,0,0
19576,"17.6696709, 75.3164374",Shri Ganapati Hospital and Netralaya-Pandharpur,"Plot No-118,Datta Nagar Pandharpur",Maharashtra,Solapur,413304,0,0
19577,"17.6745535, 75.3237262",Sonawane Hospital-Pandharpur,"Bhosale Chowk,Pandharpur",Maharashtra,Solapur,413304,0,0
19578,NA,Sushrut Hospital,"Gatade Plot, Karad Road, Opposite Railway Ground",Maharashtra,Solapur,413304,0,0
19579,NA,Takale Hospital,"New Karad Naka, New Karad Naka",Maharashtra,Solapur,413304,0,0
19580,NA,Mahila Hospital,Muralidhar Chowk Above Bank Of India Building Above Bank Of India Building,Maharashtra,Solapur,413305,0,0
19581,"17.50726, 75.439776",Narmada Hospital,Mangalvedha,Maharashtra,Solapur,413305,0,0
19582,"17.6599188, 75.9063906",Shree Satya Sai Super Hospital,Opp S.T. Stand,Maharashtra,Solapur,413305,0,0
19583,"16.8180204, 74.6465968",Anand Hospital,"Opposite S T Stand, Sangola",Maharashtra,Solapur,413307,0,0
19584,"17.4340512, 75.1953934",Dr.Kelkar Maternity Home and Paediatic Hospital,Sangola,Maharashtra,Solapur,413307,0,0
19585,"17.4340512, 75.1953934",Yashoda Hospital,Sangola,Maharashtra,Solapur,413307,0,0
19586,NA,Dr Deshmukh Hospital,"Deshpande Plot Kurduwadi Road, Barshi",Maharashtra,Solapur,413401,0,0
19587,NA,Dr Hiremath Co Op Hospital,"2553, Agalgaon Road Subhashnagar Subhashnagar",Maharashtra,Solapur,413401,0,0
19588,NA,Geetai Shushrushalaya andLaproscopy Centre,"#3809 / 2/3/8,9 Dattanagar",Maharashtra,Solapur,413401,0,0
19589,NA,Lila Hospital,"4302, Somwar Peth Pandey Chowk Pandey Chowk",Maharashtra,Solapur,413401,0,0
19590,NA,Mohire Balrugnalaya,"Old Chati Galli, Barshi",Maharashtra,Solapur,413401,0,0
19591,"17.6599188, 75.9063906",Rathi Hospital,Tilak Chowk,Maharashtra,Solapur,413401,0,0
19592,"18.2333856, 75.6941478",Samatti Clinic,Barshi,Maharashtra,Solapur,413401,0,0
19593,"18.2329054, 75.6912806",Sanjeevani Nursing Home,"Kurduwadi Road, Chhatrapati Colony, Barshi",Maharashtra,Solapur,413401,0,0
19594,"17.6599188, 75.9063906",Shri Bhaveshwar Hospital,"207, Raviwar Peth, Rajendra Chowk",Maharashtra,Solapur,413401,0,0
19595,NA,Somani Hospital and Shree Critical Care Centre,"Ainapur Road,Manurkarmath, Barsi,Ainapur Maruthi Mandir",Maharashtra,Solapur,413401,0,0
19596,"13.0040167, 77.6877765",Sri Ram Hospital,"107/2, Nishvasaha Centre , Opp Traffic Police Station Old Madras Road, Krishnarajapuram Old Madras Road, Krishnarajapuram",Maharashtra,Solapur,413401,0,0
19597,NA,Viraj Institute For Minimal Acess Surgery and Reserch Center,"155/2/9/, Subhash Nagar , Opposite Barshi Textile Mill, Agalgaon Road , Barshi",Maharashtra,Solapur,413401,0,0
19598,"21.4869337, 86.9246005",Yadav Hospital,"Baleshwar Naka, Kurduwadi Road Barshi",Maharashtra,Solapur,413401,0,0
19599,NA,Dr Jagadale Mama Hospital,"Jagadale Mama Hospital, Shivaji Nagar Barsi",Maharashtra,Solapur,413411,0,0
19600,NA,Dr Joshi Hospital,Near Highway Bus Stop Kurduwadi Road Kurduwadi Road,Maharashtra,Solapur,413411,0,0
19601,NA,Aakashdeep Hospital and I.C.U,"Amar House, 1St Floor,Plot No.98,Sector - 7,Kopar Khairne,Main Road",Maharashtra,Thane,400601,0,0
19602,"19.2011685, 72.9751825",Aishwarya Nursing Home - Thane,"Darshan Tower, Dr. Ambedkar Road, Thane (W)",Maharashtra,Thane,400601,0,0
19603,NA,Ajinkya Nursing Home,"White House Apt, Opp Punjabi Estate, Khopar, Thane West",Maharashtra,Thane,400601,0,0
19604,NA,Akshaya Surgical And Maternity Home,Savio Apts. Kolbad Naka Old Agra Road,Maharashtra,Thane,400601,0,0
19605,NA,American Heart Institute,"Opposite Mahindra Global Gallary Near Tatvayan Vidya Peeth,Ghaodbunder Road,T",Maharashtra,Thane,400601,0,0
19606,"19.293624, 72.8714864",Apex Kidney Care Pvt. Ltd (Mira Road),"101, Eden Rose Shopping Complex,Opposite Cinemax Multiplex,Beverly Park, Mira Road(E)",Maharashtra,Thane,400601,0,0
19607,NA,Bardkar Hospital,"A- 3, Meera Queen, Opp Laxmi Cars, Westerna Express, Highway Kashmira, Mira Road",Maharashtra,Thane,400601,0,0
19608,NA,Bodas Surgical And Maternity Home,"2Nd Floor,Near Saibaba Mandir,Ghantali Road",Maharashtra,Thane,400601,0,0
19609,"19.1954727, 72.9652491",Dhanvantri Childrens Hospital,"2Nd Floor, Mohan Heritage Building, Opp Tmc Offices Panchpakhadi Thane (West)",Maharashtra,Thane,400601,0,0
19610,NA,Dr Aphale Eye Hospital,"B Wing, Thakkar House, Castle Mill Naka, Opposite Holy Cross School",Maharashtra,Thane,400601,0,0
19611,"19.1881428, 72.9759446",Dr Bhanushali Hospital,Kaushalya Shivaji Path Thane - West,Maharashtra,Thane,400601,0,0
19612,"19.2266605, 72.9838366",Dr Malatibai Chitnis Clinic and Hospital,"Madhu - Malati, Malatibai Chitnis Chowk, V. S Marg ,Thane(W)",Maharashtra,Thane,400601,0,0
19613,NA,Dr Manish Patankars Nath Hospital,"101, A-Wing, Golden Havens Apartments, Kolbad Road, Khopta",Maharashtra,Thane,400601,0,0
19614,NA,Dr Mrs Jyotsana Jagtap's Ent Hospital and Hearing Aid Centre,"110/A,Krishna Tower,2Nd Floor,Kapurbawadi Naka,Above Sanman Hotel,T",Maharashtra,Thane,400601,0,0
19615,"19.1902827, 72.9711542",Dr Vaidyas Eye Center,"6, Krishna Appt., Near Waman Hari Pethe Jewellers, Dada Patil Wadi, Naupada",Maharashtra,Thane,400601,0,0
19616,NA,Dr Wavikars Eye Hospital,"4Th & 5Th Floor Level, Amber Arcade , Off Bhiwandi Bypass Road, Near Lodha Paradise, Majiwadi",Maharashtra,Thane,400601,0,0
19617,NA,Dr. Gadgils Eye Hospital,"Gr. Floor, Shreyas Apt.",Maharashtra,Thane,400601,0,0
19618,"19.1902827, 72.9711542",Dr. Godbole`S Heart Care Centre Pvt. Ltd.,"M.G. Road, Naupada, Thane (W)",Maharashtra,Thane,400601,0,0
19619,"19.3942114, 72.8633635",Dr. Goyal`S Children and General Hospital,"01,02,03, Ec-36 Sai Aangan, Evershine City, Vasai (East)",Maharashtra,Thane,400601,0,0
19620,NA,Dr. Mittal`S New Health Care Nursing Home,"Satellite Park, Near Green Court Club, Hatkesh, Mira Rd, (E) Mumbai",Maharashtra,Thane,400601,0,0
19621,"19.1867519, 72.9545494",Dr. Priyas Sai Niwas Maternity and Surgical Nursing,"28/29,A Bldg., C Wing Hira Moti Complex, Shivaji Nagar, Wagle Estate",Maharashtra,Thane,400601,0,0
19622,NA,"Dr. Ravi,S Clinic Nursing Home andNew Born Centre",D-0/002 Santoor Ground Flr. Lokpuram Off. 2Nd Pokhran Rd. Thane (W),Maharashtra,Thane,400601,0,0
19623,"19.1985423, 72.9748448",Dr.Nalavade Multispeciality Hospital,"1St Floor, Om Deep Sai-Pija Co-Op. Hsg. Society,L.B.S. Marg, Opposite Kadambari Bldg, Charai Naka, Charai",Maharashtra,Thane,400601,0,0
19624,"19.1871159, 72.9694667",Dr.Pathak`S Nursing Home,"Ist Floor,Saraswati Niwas,Opposite Malhar Cenema,Gokhale Road,Naupada",Maharashtra,Thane,400601,0,0
19625,"19.4607404, 72.817476",Ganesh Hospital,Palghar,Maharashtra,Thane,400601,0,0
19626,"19.277098, 72.8591019",Gayatri Maternity and Ent Hospital,"A/4 Sector 4,Shanti Nagar Mira Road",Maharashtra,Thane,400601,0,0
